"Age" "Lx.1933" "Lx.1934" "Lx.1935" "Lx.1936" "Lx.1937" "Lx.1938" "Lx.1939" "Lx.1940" "Lx.1941" "Lx.1942" "Lx.1943" "Lx.1944" "Lx.1945" "Lx.1946" "Lx.1947" "Lx.1948" "Lx.1949" "Lx.1950" "Lx.1951" "Lx.1952" "Lx.1953" "Lx.1954" "Lx.1955" "Lx.1956" "Lx.1957" "Lx.1958" "Lx.1959" "Lx.1960" "Lx.1961" "Lx.1962" "Lx.1963" "Lx.1964" "Lx.1965" "Lx.1966" "Lx.1967" "Lx.1968" "Lx.1969" "Lx.1970" "Lx.1971" "Lx.1972" "Lx.1973" "Lx.1974" "Lx.1975" "Lx.1976" "Lx.1977" "Lx.1978" "Lx.1979" "Lx.1980" "Lx.1981" "Lx.1982" "Lx.1983" "Lx.1984" "Lx.1985" "Lx.1986" "Lx.1987" "Lx.1988" "Lx.1989" "Lx.1990" "Lx.1991" "Lx.1992" "Lx.1993" "Lx.1994" "Lx.1995" "Lx.1996" "Lx.1997" "Lx.1998" "Lx.1999" "Lx.2000" "Lx.2001" "Lx.2002" "Lx.2003" "Lx.2004" "Lx.2005" "Lx.2006" "Lx.2007" "Lx.2008" "Lx.2009" "Lx.2010" "Lx.2011" "Lx.2012" "Lx.2013" "Lx.2014" "Lx.2015" "Lx.2016" "Lx.2017" "Lx.2018" "Lx.2019" "Lx.2020" "Lx.2021" "Lx.2022" "Lx.2023"
"27" 26 86981 86007 86912 86779 87299 88345 89266 89462 89689 90304 90100 90214 90816 91151 92477 92733 92922 93308 93280 93253 93494 93887 93965 94030 94039 94169 94228 94295 94538 94541 94507 94500 94579 94535 94664 94531 94548 94688 94946 95061 95096 95303 95509 95735 95794 95874 95945 95997 96274 96455 96638 96673 96670 96605 96689 96663 96724 96752 96809 96981 96953 97017 97135 97278 97385 97469 97539 97548 97555 97543 97542 97582 97536 97543 97593 97700 97825 97908 97922 97963 97999 98002 97923 97823 97836 97928 97946 97709 97595 97708 97807
"28" 27 86649 85675 86572 86434 86969 88057 88994 89193 89423 90045 89829 89947 90558 90923 92275 92541 92739 93127 93098 93071 93322 93721 93800 93869 93879 94015 94069 94133 94382 94385 94341 94331 94406 94356 94480 94340 94360 94500 94753 94873 94910 95122 95319 95559 95613 95697 95760 95808 96095 96290 96478 96514 96512 96437 96518 96491 96547 96577 96636 96815 96791 96859 96979 97139 97251 97343 97416 97423 97422 97408 97408 97443 97392 97396 97450 97564 97693 97777 97790 97830 97864 97867 97779 97663 97670 97769 97790 97518 97386 97519 97638
"29" 28 86311 85336 86225 86082 86632 87761 88715 88917 89152 89784 89565 89686 90298 90693 92069 92347 92554 92942 92911 92886 93147 93552 93634 93706 93717 93861 93913 93974 94223 94227 94172 94162 94232 94182 94292 94151 94163 94313 94561 94685 94715 94940 95137 95383 95434 95518 95573 95621 95910 96117 96313 96350 96346 96261 96342 96312 96361 96394 96454 96638 96614 96687 96813 96995 97119 97216 97292 97297 97289 97278 97276 97308 97250 97249 97306 97424 97560 97645 97657 97696 97729 97730 97631 97494 97499 97603 97629 97317 97166 97323 97458
"30" 29 85966 84990 85874 85724 86286 87458 88426 88634 88875 89518 89300 89425 90034 90458 91858 92147 92366 92754 92719 92693 92966 93376 93462 93537 93547 93699 93753 93812 94063 94066 94002 93990 94055 94007 94112 93958 93960 94123 94371 94489 94517 94758 94962 95212 95258 95343 95390 95439 95725 95944 96149 96189 96178 96080 96165 96132 96177 96207 96272 96458 96429 96505 96636 96843 96985 97091 97166 97169 97155 97145 97143 97175 97114 97104 97161 97281 97422 97510 97520 97556 97592 97589 97478 97324 97325 97435 97459 97106 96932 97114 97272
"31" 30 85611 84633 85517 85358 85931 87147 88128 88340 88589 89241 89029 89156 89764 90214 91639 91939 92173 92562 92526 92500 92780 93197 93288 93362 93372 93530 93583 93643 93896 93900 93837 93814 93875 93827 93935 93765 93763 93933 94179 94297 94322 94578 94785 95045 95091 95173 95212 95260 95545 95774 95989 96028 96010 95893 95984 95945 95992 96016 96086 96273 96237 96315 96451 96687 96847 96963 97039 97041 97019 97006 97006 97043 96978 96961 97017 97137 97282 97374 97382 97415 97450 97446 97321 97155 97149 97262 97284 96885 96687 96893 97077
"32" 31 85244 84264 85152 84984 85565 86827 87817 88033 88291 88950 88744 88875 89486 89961 91412 91722 91972 92362 92329 92306 92591 93014 93112 93183 93191 93354 93405 93470 93720 93728 93667 93634 93688 93641 93750 93568 93563 93732 93982 94105 94129 94395 94603 94873 94922 95004 95032 95080 95363 95598 95821 95856 95834 95698 95790 95744 95796 95817 95886 96075 96033 96111 96248 96519 96700 96828 96908 96911 96881 96865 96867 96911 96838 96815 96873 96992 97141 97234 97242 97272 97305 97298 97164 96981 96970 97084 97103 96656 96432 96664 96868
"33" 32 84862 83878 84775 84595 85185 86495 87493 87714 87979 88642 88445 88581 89196 89697 91175 91495 91761 92150 92117 92100 92393 92825 92927 92997 93003 93169 93222 93290 93542 93549 93487 93443 93495 93442 93551 93359 93357 93520 93776 93897 93925 94200 94418 94695 94741 94830 94855 94897 95181 95417 95646 95679 95652 95500 95588 95537 95583 95608 95676 95868 95817 95893 96034 96334 96545 96683 96765 96773 96741 96724 96723 96769 96692 96667 96729 96849 96998 97091 97098 97127 97160 97145 97000 96801 96782 96905 96921 96423 96168 96423 96649
"34" 33 84460 83475 84379 84188 84789 86147 87154 87381 87652 88318 88130 88272 88893 89419 90925 91256 91537 91926 91893 91880 92183 92627 92735 92800 92804 92974 93029 93095 93358 93358 93289 93237 93295 93233 93339 93140 93141 93303 93562 93676 93707 93990 94223 94511 94553 94645 94673 94712 94998 95234 95465 95497 95461 95292 95377 95321 95357 95388 95459 95649 95588 95664 95814 96140 96380 96528 96613 96627 96593 96578 96574 96624 96544 96519 96584 96703 96854 96947 96949 96980 97010 96992 96831 96615 96587 96719 96734 96186 95895 96169 96420
"35" 34 84036 83049 83958 83757 84372 85781 86798 87033 87310 87976 87798 87947 88574 89126 90660 91001 91297 91690 91660 91651 91962 92421 92535 92599 92597 92770 92824 92892 93160 93154 93076 93019 93086 93017 93118 92912 92909 93076 93338 93450 93483 93773 94015 94319 94361 94454 94484 94525 94814 95056 95284 95312 95269 95079 95160 95103 95128 95164 95233 95422 95354 95427 95584 95940 96205 96364 96451 96470 96434 96420 96421 96475 96392 96364 96430 96553 96706 96801 96799 96827 96853 96832 96658 96424 96388 96529 96540 95942 95616 95912 96184
"36" 35 83586 82599 83508 83297 83932 85394 86422 86669 86952 87616 87448 87606 88237 88814 90376 90729 91037 91439 91412 91409 91729 92200 92320 92387 92378 92553 92605 92678 92946 92933 92851 92791 92858 92789 92883 92668 92663 92832 93102 93215 93248 93550 93797 94118 94161 94257 94289 94328 94625 94876 95102 95125 95072 94861 94937 94876 94891 94930 95000 95184 95116 95184 95345 95733 96021 96193 96281 96304 96264 96254 96259 96316 96234 96199 96271 96400 96549 96653 96647 96671 96692 96664 96479 96228 96183 96329 96337 95692 95327 95653 95941
