"Age" "Lx.1933" "Lx.1934" "Lx.1935" "Lx.1936" "Lx.1937" "Lx.1938" "Lx.1939" "Lx.1940" "Lx.1941" "Lx.1942" "Lx.1943" "Lx.1944" "Lx.1945" "Lx.1946" "Lx.1947" "Lx.1948" "Lx.1949" "Lx.1950" "Lx.1951" "Lx.1952" "Lx.1953" "Lx.1954" "Lx.1955" "Lx.1956" "Lx.1957" "Lx.1958" "Lx.1959" "Lx.1960" "Lx.1961" "Lx.1962" "Lx.1963" "Lx.1964" "Lx.1965" "Lx.1966" "Lx.1967" "Lx.1968" "Lx.1969" "Lx.1970" "Lx.1971" "Lx.1972" "Lx.1973" "Lx.1974" "Lx.1975" "Lx.1976" "Lx.1977" "Lx.1978" "Lx.1979" "Lx.1980" "Lx.1981" "Lx.1982" "Lx.1983" "Lx.1984" "Lx.1985" "Lx.1986" "Lx.1987" "Lx.1988" "Lx.1989" "Lx.1990" "Lx.1991" "Lx.1992" "Lx.1993" "Lx.1994" "Lx.1995" "Lx.1996" "Lx.1997" "Lx.1998" "Lx.1999" "Lx.2000" "Lx.2001" "Lx.2002" "Lx.2003" "Lx.2004" "Lx.2005" "Lx.2006" "Lx.2007" "Lx.2008" "Lx.2009" "Lx.2010" "Lx.2011" "Lx.2012" "Lx.2013" "Lx.2014" "Lx.2015" "Lx.2016" "Lx.2017" "Lx.2018" "Lx.2019" "Lx.2020" "Lx.2021" "Lx.2022" "Lx.2023"
"21" 20 90784 90082 90920 90841 91203 91817 92623 92807 93008 93650 93839 94082 94401 94483 95309 95449 95573 95882 95930 95905 96163 96400 96498 96562 96510 96548 96640 96692 96823 96837 96832 96861 96946 96976 97109 97109 97155 97232 97416 97523 97576 97682 97790 97868 97964 98011 98090 98128 98238 98303 98368 98385 98421 98441 98461 98445 98433 98539 98585 98656 98648 98691 98732 98773 98807 98817 98840 98873 98908 98897 98916 98911 98927 98936 98940 98989 99025 99078 99090 99102 99116 99128 99103 99091 99118 99137 99143 99151 99077 99071 99099
"22" 21 90522 89827 90669 90586 90964 91606 92432 92625 92835 93488 93680 93929 94257 94346 95186 95340 95477 95792 95844 95822 96088 96330 96427 96495 96440 96484 96574 96626 96762 96771 96766 96797 96880 96909 97042 97040 97086 97160 97346 97454 97506 97618 97727 97807 97902 97949 98029 98068 98183 98249 98315 98331 98371 98388 98409 98393 98383 98491 98533 98608 98599 98642 98685 98727 98762 98774 98794 98826 98862 98850 98868 98865 98882 98889 98895 98946 98984 99037 99050 99063 99077 99086 99060 99046 99073 99094 99100 99101 99021 99020 99055
"23" 22 90244 89556 90405 90319 90713 91386 92231 92433 92653 93316 93512 93769 94106 94202 95057 95226 95375 95697 95754 95737 96011 96257 96353 96424 96370 96417 96508 96559 96698 96702 96696 96727 96811 96841 96973 96969 97016 97087 97272 97382 97435 97552 97662 97746 97838 97883 97968 98008 98125 98193 98262 98277 98319 98335 98356 98340 98332 98442 98481 98560 98549 98592 98637 98681 98714 98729 98748 98779 98817 98802 98819 98818 98834 98839 98847 98900 98940 98994 99006 99020 99035 99041 99014 98997 99023 99048 99055 99046 98961 98967 99005
"24" 23 89953 89272 90127 90038 90452 91156 92022 92234 92464 93137 93338 93602 93951 94054 94924 95108 95270 95599 95661 95649 95933 96183 96277 96351 96296 96349 96440 96494 96632 96634 96627 96657 96741 96771 96903 96897 96941 97014 97199 97311 97366 97486 97596 97684 97776 97817 97906 97949 98065 98138 98207 98224 98266 98280 98301 98285 98279 98390 98430 98511 98499 98541 98588 98634 98664 98684 98702 98733 98771 98757 98769 98772 98786 98792 98800 98855 98894 98949 98961 98975 98991 98996 98967 98945 98971 98999 99004 98987 98896 98909 98953
"25" 24 89652 88979 89839 89747 90182 90919 91805 92029 92269 92952 93159 93433 93792 93904 94788 94987 95161 95496 95564 95558 95852 96107 96200 96276 96219 96277 96369 96424 96562 96565 96557 96584 96671 96700 96831 96825 96864 96942 97129 97238 97297 97419 97530 97621 97713 97753 97843 97888 98004 98082 98152 98168 98213 98224 98246 98229 98224 98337 98378 98460 98447 98490 98538 98587 98616 98638 98656 98687 98723 98710 98719 98725 98737 98743 98750 98808 98844 98902 98914 98927 98943 98951 98918 98892 98916 98946 98950 98924 98827 98847 98897
"26" 25 89345 88678 89541 89445 89904 90675 91580 91819 92070 92765 92978 93264 93633 93754 94650 94865 95049 95389 95462 95461 95766 96028 96121 96199 96139 96201 96290 96349 96489 96490 96481 96508 96599 96625 96756 96747 96788 96868 97053 97164 97228 97350 97465 97558 97651 97689 97781 97824 97943 98025 98098 98113 98159 98167 98189 98172 98167 98282 98323 98406 98393 98438 98486 98536 98568 98591 98608 98641 98674 98662 98669 98677 98687 98691 98700 98759 98794 98852 98865 98878 98894 98903 98865 98835 98857 98891 98895 98856 98753 98781 98837
"27" 26 89033 88371 89236 89133 89620 90423 91347 91603 91868 92575 92794 93094 93473 93603 94509 94740 94933 95278 95356 95360 95676 95945 96039 96119 96057 96122 96209 96267 96411 96409 96404 96431 96524 96546 96680 96668 96710 96789 96970 97090 97158 97279 97399 97491 97588 97625 97717 97760 97881 97966 98041 98057 98104 98108 98128 98112 98107 98223 98266 98349 98336 98381 98432 98483 98517 98541 98560 98592 98623 98612 98618 98626 98637 98639 98648 98708 98741 98801 98812 98826 98842 98849 98810 98775 98797 98831 98836 98784 98675 98710 98776
"28" 27 88716 88059 88924 88814 89329 90165 91106 91382 91662 92383 92607 92921 93308 93448 94363 94610 94814 95164 95247 95255 95582 95860 95955 96037 95971 96040 96129 96183 96330 96327 96325 96350 96444 96465 96602 96588 96630 96707 96889 97010 97080 97206 97329 97422 97521 97559 97651 97695 97817 97904 97981 97999 98046 98047 98067 98049 98045 98161 98206 98292 98277 98320 98372 98428 98463 98489 98509 98541 98571 98562 98563 98572 98585 98583 98594 98655 98686 98749 98759 98772 98786 98793 98752 98710 98732 98767 98773 98708 98591 98635 98711
"29" 28 88394 87742 88607 88491 89032 89902 90858 91153 91449 92186 92414 92743 93138 93289 94212 94475 94688 95044 95131 95144 95481 95768 95865 95950 95880 95954 96046 96097 96247 96245 96234 96262 96359 96379 96519 96504 96545 96621 96809 96928 96996 97130 97256 97352 97452 97488 97584 97626 97750 97841 97917 97938 97984 97985 98001 97981 97979 98096 98142 98229 98213 98255 98308 98367 98405 98437 98456 98488 98515 98508 98508 98517 98530 98526 98538 98600 98628 98694 98705 98715 98728 98735 98690 98641 98659 98698 98706 98626 98501 98555 98642
"30" 29 88066 87421 88287 88165 88729 89633 90603 90917 91228 91982 92214 92556 92959 93123 94054 94335 94557 94918 95009 95026 95374 95670 95769 95854 95781 95861 95956 96005 96159 96153 96138 96170 96269 96289 96432 96413 96455 96530 96721 96841 96912 97049 97180 97280 97379 97414 97515 97557 97680 97777 97851 97874 97921 97920 97933 97912 97912 98031 98077 98164 98145 98187 98240 98301 98347 98381 98400 98432 98455 98450 98449 98459 98471 98466 98476 98540 98566 98633 98646 98652 98669 98673 98625 98570 98584 98623 98636 98538 98405 98467 98566
